encoderAngle, potentiometerVoltage
-458.7890625, 0.4296875
-459.84375, 0.41015625
-460.72265625, 0.4296875
-461.513671875, 0.421875
-462.216796875, 0.42578125
-462.919921875, 0.4296875
-463.623046875, 0.421875
-464.23828125, 0.4375
-464.853515625, 0.421875
-465.556640625, 0.43359375
-466.259765625, 0.42578125
-467.2265625, 0.42578125
-468.10546875, 0.4375
-469.072265625, 0.4140625
-469.951171875, 0.44140625
-471.005859375, 0.4296875
-471.97265625, 0.4375
-473.02734375, 0.4375
-473.994140625, 0.42578125
-474.9609375, 0.4453125
-475.83984375, 0.43359375
-476.71875, 0.4453125
-477.421875, 0.43359375
-478.30078125, 0.44140625
-479.091796875, 0.4453125
-479.970703125, 0.43359375
-480.76171875, 0.44921875
-481.552734375, 0.4375
-482.34375, 0.453125
-483.046875, 0.44140625
-483.92578125, 0.44140625
-484.716796875, 0.453125
-485.5078125, 0.44140625
-486.2109375, 0.453125
-486.9140625, 0.44140625
-487.529296875, 0.453125
-488.056640625, 0.4453125
-488.671875, 0.44140625
-489.287109375, 0.45703125
-489.990234375, 0.44140625
-490.60546875, 0.4609375
-491.30859375, 0.44140625
-492.01171875, 0.453125
-492.71484375, 0.453125
-493.41796875, 0.44921875
-494.12109375, 0.46875
-494.82421875, 0.4453125
-495.615234375, 0.4609375
-496.23046875, 0.44921875
-496.845703125, 0.45703125
-497.548828125, 0.4609375
-498.1640625, 0.44921875
-498.8671875, 0.46875
-499.658203125, 0.453125
-500.537109375, 0.46484375
-501.50390625, 0.45703125
-502.646484375, 0.4609375
-503.61328125, 0.46484375
-504.580078125, 0.45703125
-505.546875, 0.4765625
-506.513671875, 0.45703125
-507.392578125, 0.47265625
-508.095703125, 0.46875
-508.7109375, 0.4609375
-509.326171875, 0.48046875
-509.94140625, 0.4609375
-510.556640625, 0.47265625
-511.259765625, 0.4609375
-512.138671875, 0.46875
-512.9296875, 0.47265625
-513.80859375, 0.46484375
-514.6875, 0.484375
-515.390625, 0.46484375
-516.181640625, 0.48046875
-516.97265625, 0.47265625
-517.939453125, 0.4765625
-518.90625, 0.48046875
-520.13671875, 0.46875
-521.19140625, 0.4921875
